message,label
En casa viendo televisión lor.,ham
Mi teléfono,ham
Sus comentarios son valiosos para nosotros,0
Gracias por registrarse en nuestro sitio web,0
¿Necesitas un café Run Tomo? No puedo creer que sea esa época de la semana ya,ham
"Tengo 2 sacos de dormir, 1 manta, papel y detalles del teléfono. ¿Algo más?",ham
"Pero eso está en eBay, podría ser menos en otro lugar.",ham
Me gusta pensar que siempre existe la posibilidad de estar en un pub más tarde.,ham
Jesús Armand realmente está tratando de decirle a todos los que puede encontrar,ham
Evita recargos pagando tu cuenta a tiempo,0
"¡Vaya! Sí, debemos hablar el viernes: ¡la relación de potato de huevo para la tortilla necesaria!",ham
Cualquier cosa lar ...,ham
Oi. Ami parchi na re. Kicchu Kaaj Korte iccha Korche na. Teléfono ta tul na. Plz. Plz.,ham
Conoces a otros fren dun wan conocerme ah ... muz b un chico rito ...,ham
¿Eres feliz bebé? ¿Estás bien? ¿Tomaste ese trabajo? Espero que estés bien. Te envío un beso para hacerte sonreír desde el otro lado del mar ... *beso * *beso *,ham
Estoy en el autobús yendo a casa ...,ham
Gracias por aplicar te llamaremos si hay vacantes,0
Haga clic para obtener su informe de crédito gratuito,1
Este es un mensaje de tu banco,0
"Oye, ¿cuál es el plan este sábado?",ham
"Oh, cállate. Dios mío, ayer tuve el sueño de que tenía 2 hijos a ambos niños. Estaba tan enojado. No solo sobre los niños sino que son niños. Incluso le dije a Mark en mi sueño que estaba cambiando de pañales porque no me deben en la cara.",ham
"Pero estoy a dieta. Y ayer comí 1 demasiadas rebanadas de pizza. Ugh, siempre estoy a dieta.",ham
Postre izquierdo. Me has hecho 2 vete suntec mira 4 u?,ham
"Cualquier posibilidad de que haya tenido conmigo evaporado tan pronto como violó mi privacidad al robar mi número de teléfono del papeleo de su empleador. No es genial en absoluto. Por favor, no se ponga en contacto conmigo o le informaré a su supervisor.",ham
"Señor, necesito la cuenta bancaria del eje no y la dirección bancaria.",ham
Su recibo de impuestos ya está disponible descargarlo aquí,0
GD Luck 4 tus exámenes :-),ham
El capitán está en nuestra habitación :),ham
Actualice sus datos de facturación,0
"Como cliente valioso, me complace informarle que después de la reciente revisión de su mafia No. se le otorga un premio de bonificación de £ 1500, llame al 09066364589",spam
Gracias por ayer señor. Has sido maravilloso. Espero que hayas disfrutado el entierro. Mojibiola,ham
"Lo siento, llamaré más tarde",ham
Desarrollar habilidades de liderazgo con este seminario,1
"Este es el segundo intento de contratar a U, usted ha ganado el máximo premio de esta semana de £ 1000 en efectivo o premio de £ 200. Solo llame al 09066361921",spam
"Sí, confirmado para que te quedes en ese fin de semana",ham
¿En realidad? Me estreché acurrucado en mi sofá.,ham
Este es un recordatorio de tu vuelo de mañana,0
Tu cuenta ha sido verificada exitosamente,0
Buscamos mejorar con sus sugerencias,0
Gana una gift card de 100 dolares,1
"Oye, puedes pagar. Con salario de. Solo & lt;#& gt; .",ham
Información importante 4 usuario naranja. ¡Hoy es tu día de suerte! 2 Infinte por qué iniciar sesión en http://www.urawinner.com ¡Hay una fantástica sorpresa que te espera!,spam
Gana músculo rápidamente con este suplemento,1
Has ganado un vale de compra en nuestra tienda,1
Lee nuestro resumen diario de noticias,1
Necesitamos una copia de su identificación para el registro,1
"¡Has ganado? 1,000 en efectivo o un premio de 2,000! Para reclamar, llame al09050000327. T&C: RSTM, SW7 3SS. 150 ppm",spam
Cómo noe ... ¿ü especificó el dominio DA como nusstu ... ü todavía en sch ...,ham
Confirme su ayuda a la reunión de mañana,0
Asiste a la charla motivadora,0
¡Ja! No diría que no leí nada en la forma en que parecías. No me gusta 2 ser juzgado ... ¡Guardo eso para los viernes en el pub!,ham
"Sí, entró a las 2 y se disculpó en V. N se había caído y ella activa como un niño malcriado y él quedó atrapado en eso. ¡Hasta las 2! ¡Pero no iremos allí! No hacer malas vítores. ¿Tú?",ham
¿Has visto quién está de vuelta en Holby?,ham
"¿Ah, de verdad? Realizar, escribir un papel, ir a una película y estar en casa a medianoche, ¿eh?",ham
Quiero ver tu bonito coño ...,ham
"No, todavía estoy en el mercado",ham
"Obtenga 3 leones Inglaterra Tono, Responder Lionm 4 Mono o Lionp 4 Poly. 4 más Go 2 www.ringtones.co.uk, el original N Best. Tonos de 3GBP Las tarifas del operador de la red se aplican",spam
"Estoy en un tren de regreso desde Northampton, ¡así que me temo que no! ¡Me quedo con Sky Skying hoy Ho Ho! Sin embargo, estará alrededor del miércoles. ¿Te apetece el club de comedia esta semana por cierto?",ham
"Subasta Ronda 4. La oferta más alta ahora es de £ 54. La siguiente oferta máxima es de £ 71. Para ofertar, envíe ofertas e. gramo. 10 (para ofertar £ 10) a 83383. Buena suerte.",spam
"Sí, obviamente, pero tú eres el huevo-perte y la cabeza de papa ... ¡hable pronto!",ham
Domina el arte de hablar en público con nuestro curso,1
Libera tu potencial artístico con nuestro juego de pintura,1
Invierte en criptomonedas y multiplica tus ganancias,1
Use nuestra aplicación y acumule puntos de intercambio,1
Hola chicas ... ¿alguien de ustedes va al centro de conducción TMR?,ham
Hola ¿te gustaría colaborar en nuestro proyecto?,0
"Yo, ¿estás cerca? Acabo de recuperar mi coche",ham
"¿Qué tal ropa, joyas y viajes?",ham
Jay se riega y me dice que X está totalmente jodiendo los acordes mientras hablamos,ham
Reclamar su tarjeta de regalo de cumpleaños,0
Lamentamos el cierre temporal de nuestras oficinas,0
Jason dice que es genial si recogemos un poco de su lugar en una hora como una hora,ham
Calefacción completa PA :-) He aplicado petróleo PA.,ham
"Life Alle Mone, Eppolum Oru Pole Allalo",ham
"Acabo de llegar, nos vemos en un par de días y LT; 3",ham
Descubre los secretos para un cabello hermoso,1
Lo que quiero decir es que vienen a perseguirte cuando termina o se dice que puedes ver tantas películas como quieras.,ham
Hola neva preocupación por la verdad porque la verdad me llevará 2 tu corazón. Es la menos una persona única como te mereces. Duerme apretado o mañana,ham
Pérdida de peso sin dieta o ejercicio,1
"Estimado titular del cupón, para reclamar la oferta de esta semana, a su PC, visite http://www.e-tlp.co.uk/reward. TS y CS se aplican.",spam
"Sms. AC JSCO: La energía es alta, pero es posible que no sepa dónde es 2 canal. 2day sus habilidades de liderazgo son fuertes. ¿Psíquico? Responder Ans con pregunta. ¿Fin? Respuesta Fin JSCO",spam
Obtenga los mejores consejos para la piel radiante,1
"Vamos a agrupar nuestro dinero y comprar un montón de boletos de lotería. Si ganamos, obtengo & lt;#& gt; % u get & lt;#& gt; %. ¿Trato?",ham
No ponga su teléfono en modo silencioso ok,ham
"De todos modos, holla cuando estés cerca porque necesito una excusa para arrastrarme a la gente en Sarasota",ham
* Estaba pensando en Chuckin Ur Red Green N Black Trainners 2 Save Carry Its Bac en tren,ham
Jus termina de bañarse ...,ham
¿Puedes dejarme saber los detalles del viernes cuando descubres porque no estoy en Tom o viernes? Chino mencionado. Gracias,ham
"Por lo general, el cuerpo se ocupa de ello, comprarlo asegurándose de que no progrese. ¿Podemos continuar esta charla el sábado?",ham
Es más difícil ..,ham
Use este código promocional en su próxima visita,1
Reciba sus envíos gratuitos por un año,1
Estuve en Bugis Juz ahora Wat ... pero ahora estoy caminando a casa oredi ... ü tan tarde y luego respondí ... Oso vi a un top que me gusta pero compra ... ¿Dónde está R ü ahora?,ham
Resalta tu belleza con nuestro lápiz labial,1
Compra ahora y recibe un descuento especial,0
"Bueno, sé que Z se encargará de mí. Así que no se preocupe.",ham
Este mensaje es para informarte sobre nuestra nueva política,0
Trabaja desde casa y genera ingresos adicionales,1
"Ahhhh ... ¡Acabo de despertar! Tuve un mal sueño contigo aunque, así que no me gustas en este momento :) No sabía nada sobre la noche de comedia, pero supongo que estoy preparado para eso.",ham
¿En qué lugar puedo obtener habitaciones baratas :-),ham
Ven a casa. No quiero que seas miserable,ham
Lol yep lo hizo ayer. Ya tengo mi chimenea. Ahora es solo otro ícono sentado para mí.,ham
Ear dinero extra con esta parte -tiempo de trabajo,1
"Tengo fujitsu, ibm, hp, toshiba ... tengo mucho modelo cómo decir ...",ham
"Fwiw La razón por la que solo estoy por ahí cuando es hora de fumar es que, por gas, solo puedo permitirme estar cerca cuando alguien me dice que lo esté y que aparentemente solo sucede cuando alguien quiere iluminar",ham
No sé preguntarle a mi hermano. Nada problemático algo que. Solo yo lo dije.,ham
Confirma tu dirección de correo para recibir novedades,1
Ayúdanos respondiendo esta breve encuesta,0
Únase a nuestra causa y haga del mundo un lugar mejor,0
"Servicios de SMS. Para sus créditos de texto inclusivos, PLS GOTO www.comuk.net login = ***** Unscripscribe con Stop. Sin cargo adicional. Ayuda: 08700469649. PO Box420. IP4 5WE",spam
Por qué de. Te ves bien solo :-) ..,ham
Ey ! No olvides ... eres mía ... para mí ... mi posesión ... mi propiedad ... mmm ... * sonrisa infantil * ...,ham
Mejore su rendimiento sexual con este producto natural,1
"Impresionante, ¿crees que podemos obtener un octavo en USF en algún momento esta noche?",ham
¿Está tu congelación? ¿Estás en casa todavía? ¿Recordarás besar a tu madre por la mañana? Me amas ? ¿Piensas en mí? ¿Ya me estás extrañando?,ham
Dile a donde llegaste,ham
Entonces compro.,ham
¡Ojalá estuviera contigo ahora!,ham
Elimina el acné con este jabón natural,1
¿Por qué no llamaste tu almuerzo?,ham
Obtenga envío gratis en su primera compra,1
Has sido preseleccionado para recibir un premio en efectivo,1
Disfrute del envío gratis en su próxima compra,1
"Ok, vendré a tu casa después de media hora",ham
Hola que el sitio descargar canciones es urgente por favor,ham
Ir al entrenamiento para ... Muz pierde las grasas ...,ham
Su cumpleaños real es en abril.,ham
Bueno. Lo he visto. ¿Entonces debería elegirlo el viernes?,ham
¿Quieres sexo explícito en 30 segundos? Anillo 02073162414 ¡Ahora! Costos 20p/min,spam
jaja pero no hay dinero leh ... luego tengo que ir por la matrícula ... jaja y buscando tragamonedas vacías para las lecciones de conducción,ham
"Su tono de llamada gratis está esperando ser recolectado. Simplemente envíe un mensaje de texto con la contraseña ""mezclar"" al 85069 para verificar. Obtenga Usher y Britney. FML, PO Box 5249, Mk17 92h. 450ppw 16",spam
O ic lol. Debería jugar 9 puertas en algún momento yo,ham
¿Suele tomar quince minutos para responder a una pregunta de sí o no?,ham
"¡Ah, y por cierto tienes más comida en tu refrigerador! ¿Quieres salir a comer esta noche?",ham
Encuentra tu equilibrio con meditación,0
Como un tamaño personal o lo que,ham
Gracias. Todo estará bien en unos meses,ham
Mejora tu rendimiento deportivo con nuestro programa de entrenamiento,1
Un excelente pensamiento por un maltrstud frnd: me dio la odio por el día que te darás la verdad que te odiarás :-( Gn :-),ham
Tu pasador temporal es 3897,0
"Probablemente pueda pasar, todo el mundo ha terminado & lt;#& gt;  ¿bien?",ham
¡Hola guapo! ¿Estás encontrando ese trabajo? ¿No ser perezoso? ¿Trabajando para recuperar esa red para mamá? ¿Dónde está mi boytoy ahora? ¿Me extraña?,ham
Necesitamos verificar su identidad para procesar su aplicación.,1
Y tan tarde pero necesito ir a buscar la computadora portátil ...,ham
Buenos días por favor llámame señor,ham
"Mmmmm ... ¡Me encantó despertar a tus palabras esta mañana! Yo también te extraño, mi amor. Espero que tu día vaya bien y que estés feliz. Espero que estemos juntos de nuevo",ham
Mantente en forma con nuestras clases online,1
Este es un mensaje de su banco,0
"Recibido, entendido y actuó sobre!",ham
Tessy ... por favor hazme un favor. Por favor transmitan mis deseos de cumpleaños a Nimya ... por favor no lo olviden. Hoy es su cumpleaños shijas,ham
Mantengo diez Rs en mi estante :) Compre dos huevos.,ham
Olor encantador en este autobús y no es tabaco ...,ham
Marque sus abdominales con nuestro ardor grasa,1
"Por lo general, la persona está inconsciente que está en niños, pero en adultos puede comportarse anormalmente. Te llamará ahora",ham
"¡Obtenga un teléfono móvil nuevo siendo un agente de la mafia! ¡Además de cargar más golosinas! Para más información, solo text Mat a 87021.",spam
"Lo mismo, estoy en mi fiesta de aniversario de tías abundantes en Tarpon Springs",ham
"Genial. Entonces, ¿cómo manejas el tráfico de la isla Victoria? Además, ¿cuándo se debe el álbum?",ham
Mantenga sus altas defensas con vitamina C,1
"Solo trabajo de lunes a jueves, pero sábado no puedo leh ... reservado liao ... ¿cuál es el otro día libres?",ham
Invierta en criptomonedas y multiplique sus ganancias,1
Pérdida de peso con nuestras opciones vegetarianas,1
Reclamar su premio al cliente frecuente,0
Por favor selecciona la sede de tu preferencia,0
"No ... creo que lo iré el lunes ... lo siento, respondí tan tarde",ham
Verifique su puntaje de crédito gratuito,1
No te pierdas estos divertidos memes,1
Voy a hacerme saber que Cos Come Bak de Holiday ese día.  viene. No 4get2Text me número.,ham
Te regalamos un cupón por tu cumpleaños,0
"Feb & lt;#& gt;  es ""te amo"" día. Envíe a todos a todos sus ""Frnds valiosos"" evn. Si vuelve 3, ¡te casarás con persona! Si ignoras, perderás tu amor 4 EVR",ham
¡Buenas noticias! Llame a FreeFone 080063444447 para reclamar su efectivo garantizado de £ 1000 o un regalo de £ 2000. ¡Habla con un operador en vivo ahora!,spam
Ven a la parada de autobús de Mahal .. & lt; decimal & gt;,ham
Cómo estás. Solo revisando contigo,ham
¿Has oído hablar de ese trabajo? Voy a esa charla de vida silvestre de nuevo esta noche si quieres 2come. ¿Es eso 2worzels y un chiflado o lo que sea que sea?,ham
... y no te preocupes que hayamos terminado en marzo ... ¡Ish!,ham
¡Eres hermosa! Mantenga esas pix Cumming :) ¡Gracias!,ham
Ü v ma fan ...,ham
No puedo elegir el teléfono ahora mismo. Por favor envíe un mensaje,ham
Ayúdanos a mejorar con tu sincera opinión,0
Este es un recordatorio de su pago pendiente,0
Invierta en acciones y multiplique su capital,1
Hey Pple ... $ 700 o $ 900 por 5 noches ... Excelente ubicación WIF Breakfast Hamper !!!,ham
Moji te amo más que las palabras. Que tengas un día rico,ham
¿Puede ü enviarme una copia del informe DA?,ham
"Mucha gente parece ser especial a primera vista, pero solo muy pocos seguirán siendo especial para ti hasta tu última vista. Manténgalos hasta que termine la vida ... sh! Jas",ham
"7 maravillas en mi mundo séptimo lugar sexto tu estilo 5 ° Ur Smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS y 1 ° ""Ur encantadora amistad"" ... Buenos días querido",ham
Descargue este software gratuito ahora,1
Solo envía un mensaje de texto. Estaremos Skype más tarde.,ham
Asegúrese de su futuro con nuestro plan de jubilación,1
Jus regresó al almuerzo solo mi hermana. U leh?,ham
"Hola chikku, envía un buen mensaje",ham
"Eso es bueno, porque necesito drogas",ham
Llego tarde. Estaré allí en,ham
"House-Maid es el asesino, porque el hombre fue asesinado en & lt;#& gt; TH ENERO .. Como feriado público, todas las instituciones del gobierno están cerradas, incluida la oficina de correos ...",ham
Espero que estés teniendo una buena semana. Solo registrando,ham
¿Por qué me desperté solo y gt; :(,ham
"Helloooo ... ¡despierta ..! ""Dulce"" ""mañana"" ""le da la bienvenida"" ""disfruta"" ""este día"" ""con alegría"" .. ""gud mrng"".",ham
"Gracias por su pago, su suscripción se ha renovado",0
"Oye, ¿todavía estás en el gimnasio?",ham
"Lugar del cliente, yo estaré, señor.",ham
No te pierdas estos memes épicos,1
"Esa es la cosa con los simios, puedes luchar hasta la muerte para mantener algo, pero en el momento en que lo tienen cuando lo dejas ir, ¡eso es todo!",ham
* ¡Será septiembre para entonces!,ham
¿Qué altura tienes la princesa?,ham
"Hola, está en Durban, ¿todavía estás en este número?",ham
Tu pedido está siendo preparado para envío,0
Cómo estás. Han pasado años. ¿Cómo está ABJ?,ham
Este producto milagroso le quitará las arrugas,1
No quiero escuchar nada,ham
8007 gratis para la primera semana! No1 Nokia Tone 4 Ur Mob cada semana solo txt Nokia a 8007 Obtener txting y decirle a sus compañeros www.getzed.co.uk POBOX 36504 W4 5WQ Norm 150p/Tone 16+,spam
"Vikky, ven & lt; Time & gt; ..",ham
¿Estás en JP y hambriento como un mofo?,ham
Que no está de pie.,ham
"Olvidé que me lleva 3 años ducharme, lo siento. ¿Dónde estás muerto/tu teléfono muerto?",ham
"Estimado, llamaré a TMorrow.PLS acomodado.",ham
Lo lamento. Me he unido a la liga de personas que no se mantienen en contacto. Te refieres mucho a mí. Has sido un amigo en todo momento incluso a gran costo personal. Que tengas una gran semana.,ham
"Oye, ¿vamos a buscar la lección o el gimnasio?",ham
Lara dijo que puede prestarme y lt;#& gt; .,ham
Invertir como expertos con nuestras herramientas,1
Hola ¿quieres tener una cita conmigo?,0
"Hola decidiste wot 2 conseguir 4 su cumpleaños, si no mal, probablemente consiga un cupón de virgen o sumfo",ham
Obtenga acceso a la suscripción de contenido exclusivo ahora,1
Transforma tu mente con nuestro retiro espiritual,1
"Hola, seré tu nutricionista en línea",1
Haga clic aquí para ver fotos de gatitos increíbles,1
Podemos ir 4 e Pilates normales después de nuestra introducción ...,ham
Gana un iPhone gratis que participa en este rifa,1
No te pierdas estos divertidos videos de animales,1
Por favor actualiza tus preferencias de notificaciones,0
No querida tengo mensajes gratuitos sin recarga. Hola hola,ham
No sé admite culo y srt i thnk. Creo que PS3 también puede jugar a través de USB,ham
"O. Bueno, UV causa mutaciones. El protector solar es como los Tesedays esenciales",ham
¿Quieres sexo explícito en 30 segundos? Anillo 02073162414 ¡Ahora! Costos 20p/min GSEX POBOX 2667 WC1N 3XX,spam
Seleccione su método de envío favorito,1
Mañana no voy al teatro. . . Entonces puedo venir a donde me llames. . . Dime a dónde y cuándo venir mañana,ham
Ey. ¿Tienes algún correo?,ham
Tu orden ha sido actualizada,0
"Buenos días, mi amor ... Me voy a dormir ahora y te deseo un gran día lleno de sentimiento y oportunidad ... eres mi último pensamiento nena, te amo *beso *",ham
Jaja Mayb U'Re rito ... me conoces bien. Da sensación de ser querido por alguien es GD lor. Más rápido ve a buscar una y luego a todas las chicas de nuestro grupo adjunta liao.,ham
"Noche * V bueno, si es un evento cargado. Te llenaré, no te preocupes ... cabeza * ok pero garganta * destrozó. ¡Nos vemos a las seis entonces!",ham
Fui al centro de proyectos,ham
Ok lor. Msg me b4 u llamas.,ham
Regresé. Un poco de accidente en el A30. Tuve que desviar a través de Wadebridge. Tuve un fin de semana brillante gracias. Habla pronto. Mucho amor,ham
Estoy en casa. ARD ¿Qué hora llegarás?,ham
Resalta la profundidad de tu mirada,1
Pase horas de entretenimiento con este juego,1
"Lo siento, mi batería murió, puedo venir, pero solo estoy recibiendo un gramo por ahora, ¿dónde está tu lugar?",ham
"'Una cita asombrosa' ' - ""A veces en la vida es difícil decidir qué hay de mal !! una mentira que trae una sonrisa o la verdad que trae una lágrima ...""",ham
"Estoy en la escuela ahora, estaré en el laboratorio haciendo algunas cosas, llame cuando termine.",ham
Gracias por ser parte de nuestra comunidad,0
Simplemente normal solo aquí :),ham
Gracias por confiar en nuestra asesoría,0
"Sí, claro, dame un par de minutos para rastrear mi billetera",ham
"Ahora estoy comiendo ahora, pero vuelvo a trabajar pronto ... E Montain Deer Show Huh ... Veo B4 Liao, muy agradable ...",ham
", Ow u dey.i pagué 60,400Thousad. Te dije que llamaría.",ham
Te pedí que lo llamara ahora bien,ham
Comparta sus ideas sobre el proyecto conmigo,0
Necesitamos que verifiques tu identidad,1
Tu opinión nos importa cuéntanos cómo te fue,0
Lo hice pero la conexión a Internet v lenta y no puede enviarlo. Lo intentaré de nuevo más tarde o lo primero que Tomo.,ham
Moji me informó que te salvaste la vida. Gracias.,ham
"Gana el más nuevo Harry Potter y la Orden del Phoenix (Libro 5) Responder Harry, Responda 5 Preguntas: ¡la oportunidad de ser la primera entre los lectores!",spam
Ven a Medical College a las 7pm ...,ham
1apple/día = sin médico. 1Tulsi hoja/día = sin cáncer. 1lemon/día = sin grasa. 1Cup Milk/Day = Sin hueso Problms 3 litros Watr/Day = Sin enfermedades snd ths 2 a quién te importa .. :-),ham
No Da. Estoy feliz de que nos sentemos juntos,ham
¿Estás despierto? ¿Hay nieve ahí?,ham
Mejora tu rendimiento sexual con este producto natural,1
Haz esta prueba de coeficiente intelectual y te sorprende,1
Haga clic aquí para conocer gente interesante cerca de usted,1
Ayúdanos a mejorar con tu sincera opinión,0
Aunque no estoy seguro de si todavía está disponible,ham
Howz Pain. Va a bajar hoy. Como dije y Medicina.,ham
"U R suscrito 2 TextComps 250 WKly Comp. Sigue la pregunta gratuita de 1st WK, WKS posterior cargada@150p/msg.2 Unscripción Txt Stop 2 84128, Custcare 08712405020",spam
"No sé qué hacer para salir de esto, así que solo estoy haciendo preguntas como esta, no me confundas.",ham
"No voy a venir, haz lo que quieras",ham
Argh Por qué diablos no es nadie en la ciudad; _;,ham
La empresa es muy buena. El ambiente es excelente y la comida es realmente agradable :),ham
Verifique el documento adjunto y fíjelo digitalmente,0
Empiece su día con pensamientos positivos,1
Comparta su experiencia con nuestro producto,1
Gettin rdy para enviar comp,ham
Aight me pondré en FB en un par de minutos,ham
Felicitaciones por su logro que lo mereces,0
"SPPOK UR UR MOB con una colección de Halloween de logotipo de Nokia y un mensaje PIC, además de un tono misterioso gratuito, TXT Card Spook a 8007",spam
Disfrute de los beneficios de ser socio,0
Postular esta realidad y ganar fama,1
Pague su tarifa antes de los 30 y ahorre,0
Quiero enviar & lt;#& gt; Mesages hoy. Eso es Y. Lo siento si me duele,ham
¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡.Id ¡¡,ham
"Tengo que verificar, pero solo hay como 1 tazones que valen",ham
No quiero que te vayas. Pero apenas estoy haciendo lo que pueda para mantenerme cuerdo. Pelear contigo constantemente no está ayudando.,ham
Necesito que revises el documento adjunto y me des tus comentarios,0
"¡¡GANADOR!! ¡Como cliente valioso de la red, ha sido seleccionado para recibir una recompensa del premio de £ 900! Para reclamar llame al 09061701461. Código de reclamación KL341. Válido 12 horas solamente.",spam
Recuerda que tienes una tarea pendiente,0
He llegado a casa finalmente ...,ham
"¡Llame a nuestro representante de servicio al cliente en Freephone 0808 145 4742 entre 9 a.m. y 11 p.m., ya que ha ganado un premio garantizado de £ 1000 en efectivo o £ 5000!",spam
¿Alguna vez obtienes una canción atrapada en tu cabeza sin razón y no desaparecerá hasta que la escuches como 5 veces?,ham
Haz clic para ver las fotos privadas de esta persona,1
Intercambie su bono aquí,1
"""Hola-/@drivby-: 0quit edrunk lo siento iff pthis no es senrd-dnot no cómo ^ dancce 2 tambor n basq! I have diversión 2nhite x ros xxxxxxxx""",ham
Querido buenos días ahora solo estoy despierto,ham
"Justo, ¿algo que pasa?",ham
Este es un recordatorio de su reserva,0
Gracias 4 e brownie es v agradable ...,ham
Tienes 1 nuevo mensaje. Llame al 0207-083-6089,spam
Se suponía que debías despertarme y gt; :(,ham
"Eso significa que tienes una A en EPI, ella está bien. Ella está aquí ahora.",ham
Está bien conmigo. Bueno gracias por la aclaración,ham
Verifique su número de celular,0
Desarrolla músculos en poco tiempo con nuestro producto,1
Ugh acaba de salir de clase,ham
"Y muy importante, todo lo que discutimos es entre ti y yo solo.",ham
Gana el doble para tus referencias efectivas,1
Llámalo y diga que no vienes hoy bien y diles que no me engañen así bien,ham
"Sí, ¿por qué no? ¿Está la pandilla lista?",ham
Eso depende. ¿Cómo te gustaría que te traten? :),ham
Recomienda nuestro producto y gana comisiones,1
Tienes un admirador secreto que está buscando 2 contacto con U-Find Out Who They R*revela quién cree que eres tan especial en 09065171142-Stopsms-08718727870150ppm,spam
"Estimado titular del cupón, 2 reclamos esta semana, en su PC, vaya a http://www.e-tlp.co.uk/expressoffer ts & cs aplic.2 texts de detención txt parada a 80062.",spam
Toque y spile a las siete. * Es ese pub en Gas St Off Broad St por Canal. ¿De acuerdo?,ham
Encuentra tu equilibrio con meditación,0
Esposa. ¿Cómo sabía exactamente el momento del asesinato?,ham
"Yo, estoy en el efectivo de mis padres. Buenas noticias: recogimos un sistema de caída",ham
Unete a nuestro club de lectores y recibe libros gratis,1
Su boleto de pago está disponible,0
Cambiar de nuevo ... es un al lado de la escalera mecánica ...,ham
Genera tu certificado tributario electronico,0
Tu suscripción ha sido renovada automáticamente,0
"Así que de todos modos, puedes ir a tu gimnasio o lo que sea, mi amor * sonríe * Espero que estés bien y tengas un buen día nena ... ya te extraño mucho",ham
Encuentra el amor de tu vida con nuestra aplicación,1
Gracias por ser nuestro cliente valoramos su preferencia,0
Gana un premio en efectivo de £ 1000 o un premio por valor de £ 5000,spam
"Esta increíble oferta termina hoy, ¡no se lo pierdas!",1
K beberé.pa entonces qué hacer. Necesito el modelo SRS por favor envíelo a mi ID de correo PA.,ham
"Tu saldo ahora es de £ 600. Siguiente pregunta: Completa el punto de referencia, Big, A. Bob, B. Barry o C. Ben? Texto A, B o C a 83738. ¡Buena suerte!",spam
No hay mensajes en su teléfono. Lo estoy sosteniendo ahora,ham
Descubre los secretos para un cabello hermoso y brillante,1
un martes por la noche r u 4 real,ham
Tu factura del mes está lista para ser pagada,0
Sí :) completamente en forma :) Clark también pronuncia residuos.,ham
"Hola, SERe su asesor de imágenes personales",1
"Bueno, no hay muchas cosas en Lindsay en Año Nuevo * suspiros * Algunos bares en PTBO y The Blue Heron tiene algo en marcha",ham
"¿Qué quieres decir con que casi terminaste? Hecho wif durmiendo? Pero me vas a tomar una siesta ... sí, le envío liao, así que la estoy recogiendo en ard 4 smth lor ..",ham
en Bruce B Downs & amp; Fletcher ahora,ham
Quería pedirle a ü que me esperara para que termine la lectura. Porque mi lectura finaliza en una hora de todos modos.,ham
Me avenzo para dar el final de este mes.,ham
¿Por qué cansado que especial tuviste?,ham
"* ¡Estoy en un tren de regreso desde Northampton, así que me temo que no!",ham
Mejore su rendimiento sexual con este producto,1
Tenemos nuevas fechas locales en su área: muchas personas nuevas registradas en su área. ¡Fecha de respuesta para comenzar ahora! 18 Solo www.flirtParty.us Responds150,spam
Aumente su tamaño con estas píldoras milagrosas,1
Tu cuenta tiene un saldo pendiente,1
Participe en nuestro concurso y gane un viaje,1
Verifique su cuenta de depósito de nómina,1
Da es un buen jugador. ¿Por qué no está vendido?,ham
"Bueno, voy a ser una tía!",ham
"¡Jajaja! Nah no fue tan mal gracias. Es bueno para B a casa, pero ha sido una gran verificación de la realidad. ¿Cómo ha sido tu día? ¿Hiciste algo con el sitio web?",ham
Ok ... déjate noe cuando salga de mi casa.,ham
Obtenga un regalo especial con este código QR,1
"¡Las mejores fotos directamente a tu teléfono! ¡Mira me mojaría y querer, solo para ti xx fotos de texto a 89555 ahora! TXT cuesta 150p TextOperator G696GA 18 xxx",spam
Puedes anotar cosas que quieres recordar más tarde.,ham
"Lol no, pero desearía haber permanecido un poco más",ham
Proteja a su familia con nuestro seguro de vida,1
Natalie (20/f) te está invitando a ser su amiga. Respuesta Sí-165 o No-165 Véala: www.sms.ac/u/natalie2k9 ¿Detener? Enviar parada frnd al 62468,spam
Como uno de nuestros suscriptores registrados puede ingresar el sorteo 4 A 100 G.B. cupón de regalo respondiendo con Enter. Para dar a la baja parada de texto,spam
Activa tu nueva tarjeta con una compra,0
Sin llamadas ... Messages..,ham
¡Buenos días pastel de pookie! Jajaja espero que no te haya despertado,ham
¿Algo que viene ella?,ham
"K, mi compañero de cuarto también quiere un dubsack y otro amigo también puede querer algo, así que planea traer más, te diré cuándo saben con certeza",ham
Necesitamos actualizar tu informacion personal,1
Entérate de las últimas noticias de la industria,1
Tu pago ha sido procesado con éxito,0
Estoy esperando su llamada señor.,ham
Lamentamos informarte que tu crédito no ha sido aprobado,0
Accede a beneficios exclusivos en nuestro club,1
"¡Todo el auto apreció los dos últimos! Papá y están teniendo un mapa leyendo semi argumento, pero aparte de eso, las cosas van bien. PAG.",ham
Marca la diferencia con los abdominales de acero,1
Verifique el documento adjunto y fíjelo digitalmente,0
